Query,Date,Arix,Google,Google Scholar,Sematic Scholar
Responsible AI,2013,5,7570000,256000,62327
Responsible AI,2014,5,11300000,220000,65620
Responsible AI,2015,2,25900000,231000,66987
Responsible AI,2016,9,38800000,211000,67872
Responsible AI,2017,18,32500000,231000,67632
Responsible AI,2018,24,80800000,221000,73010
Responsible AI,2019,55,86100000,216000,79200
Responsible AI,2020,128,106000000,200000,87421
Responsible AI,2021,180,0,153000,83562
Responsible AI,2022,189,113000000,127000,77942
Responsible AI,2023,664,418000000,110000,85701
RAI,2013,0,10100000,76900,1000
RAI,2014,0,12600000,83000,1000
RAI,2015,0,17600000,89700,1167
RAI,2016,0,24700000,95500,1180
RAI,2017,0,35300000,103000,1289
RAI,2018,0,35500000,108000,1237
RAI,2019,0,43000000,110000,1195
RAI,2020,0,78700000,114000,1304
RAI,2021,0,0,99400,1155
RAI,2022,0,77100000,77300,1042
RAI,2023,0,240000000,64400,1057
Ethical AI,2013,0,188000,125000,30581
Ethical AI,2014,1,1870000,117000,32003
Ethical AI,2015,2,3020000,141000,33461
Ethical AI,2016,4,3560000,151000,34397
Ethical AI,2017,12,6440000,161000,35647
Ethical AI,2018,21,11000000,165000,40457
Ethical AI,2019,54,22300000,167000,47075
Ethical AI,2020,100,39100000,168000,55518
Ethical AI,2021,154,30400000,152000,55381
Ethical AI,2022,160,35900000,99800,52528
Ethical AI,2023,413,74800000,119000,62307
AI Governance,2013,0,3200000,58100,35980
AI Governance,2014,2,5490000,60400,38032
AI Governance,2015,4,7220000,65000,39740
AI Governance,2016,6,6760000,65800,40062
AI Governance,2017,3,13200000,80000,40883
AI Governance,2018,19,16700000,89100,47276
AI Governance,2019,23,31600000,96000,52362
AI Governance,2020,56,34000000,102000,57915
AI Governance,2021,95,54800000,97400,57806
AI Governance,2022,99,82600000,73200,55110
AI Governance,2023,174,160000000,77700,64654
AI Accountability,2013,7,63000,0,18979
AI Accountability,2014,1,118000,21900,19638
AI Accountability,2015,5,219000,23300,20254
AI Accountability,2016,2,227000,23400,21343
AI Accountability,2017,7,196000,29000,22038
AI Accountability,2018,13,324000,0,26173
AI Accountability,2019,43,1550000,43500,31343
AI Accountability,2020,61,5100000,53300,36974
AI Accountability,2021,92,5540000,57700,38743
AI Accountability,2022,130,8520000,47300,39221
AI Accountability,2023,238,19200000,38800,49885
AI Privacy,2013,0,95500000,356000,22348
AI Privacy,2014,1,205000000,343000,24412
AI Privacy,2015,1,293000000,330000,25192
AI Privacy,2016,0,199000000,336000,26410
AI Privacy,2017,5,341000000,333000,28301
AI Privacy,2018,16,562000000,347000,32851
AI Privacy,2019,42,448000000,339000,38807
AI Privacy,2020,73,619000000,328000,46387
AI Privacy,2021,104,643000000,243000,49014
AI Privacy,2022,144,1020000000,151000,50672
AI Privacy,2023,362,2640000000,203000,61775
Responsible Geographic Information Systems,2013,1,417000,143000,9138
Responsible Geographic Information Systems,2014,1,394000,134000,9196
Responsible Geographic Information Systems,2015,1,8350000,0,9432
Responsible Geographic Information Systems,2016,0,12100000,136000,8923
Responsible Geographic Information Systems,2017,2,12900000,133000,8575
Responsible Geographic Information Systems,2018,0,27900000,0,8891
Responsible Geographic Information Systems,2019,0,30900000,125000,8860
Responsible Geographic Information Systems,2020,4,38700000,119000,9006
Responsible Geographic Information Systems,2021,5,40800000,108000,8200
Responsible Geographic Information Systems,2022,2,48700000,83200,6757
Responsible Geographic Information Systems,2023,9,42500000,70900,6015
Geographic Information Systems,2013,25,1850000,461000,133223
Geographic Information Systems,2014,27,3650000,472000,135395
Geographic Information Systems,2015,38,8650000,466000,134020
Geographic Information Systems,2016,32,8270000,0,125569
Geographic Information Systems,2017,34,15700000,440000,125639
Geographic Information Systems,2018,39,17000000,418000,130946
Geographic Information Systems,2019,64,28300000,364000,135014
Geographic Information Systems,2020,64,32700000,341000,138492
Geographic Information Systems,2021,66,26500000,232000,130796
Geographic Information Systems,2022,81,26700000,181000,115222
Geographic Information Systems,2023,100,61400000,138000,100614
Spatial Analysis,2013,763,4570000,2350000,964205
Spatial Analysis,2014,830,5860000,2280000,1003674
Spatial Analysis,2015,992,13800000,2260000,1011110
Spatial Analysis,2016,0,16600000,2080000,996857
Spatial Analysis,2017,0,19200000,1790000,1014438
Spatial Analysis,2018,0,31600000,1840000,1091182
Spatial Analysis,2019,0,64800000,1570000,1124847
Spatial Analysis,2020,0,65700000,1240000,1228434
Spatial Analysis,2021,0,54400000,771000,1179453
Spatial Analysis,2022,0,59500000,371000,1079683
Spatial Analysis,2023,0,67400000,237000,1006700
Cartography,2013,6,1800000,28700,2379
Cartography,2014,4,1840000,30400,2471
Cartography,2015,11,2170000,32800,2703
Cartography,2016,10,2590000,35700,2628
Cartography,2017,7,3650000,0,2790
Cartography,2018,12,4580000,37200,2868
Cartography,2019,19,6050000,36700,3025
Cartography,2020,22,7110000,39400,2913
Cartography,2021,16,6570000,36400,2637
Cartography,2022,27,6260000,30700,1874
Cartography,2023,21,9530000,25100,1646
GIS Mapping,2013,6,3190000,57200,55829
GIS Mapping,2014,10,4070000,0,57273
GIS Mapping,2015,7,6740000,64600,58063
GIS Mapping,2016,9,0,68900,56833
GIS Mapping,2017,10,11400000,71800,57350
GIS Mapping,2018,9,18600000,68600,60293
GIS Mapping,2019,14,21200000,75700,60863
GIS Mapping,2020,14,24600000,72200,63189
GIS Mapping,2021,12,20700000,73600,59581
GIS Mapping,2022,9,32800000,61700,53790
GIS Mapping,2023,13,43000000,46800,49933
Fair GIS Applications,2013,0,27200,7370,4030
Fair GIS Applications,2014,0,25600,7480,3895
Fair GIS Applications,2015,0,32800,7960,3851
Fair GIS Applications,2016,0,55000,8140,3552
Fair GIS Applications,2017,0,62200,8400,3450
Fair GIS Applications,2018,0,71300,8930,3596
Fair GIS Applications,2019,0,103000,9390,3890
Fair GIS Applications,2020,0,133000,10600,3959
Fair GIS Applications,2021,0,96200,12200,3847
Fair GIS Applications,2022,0,163000,10700,3483
Fair GIS Applications,2023,0,379000,8970,3170
